YES,	-
YES,	-
YES,	-
YES,	-
YES,	-
YES,	-
YES,	-
YES,	-
YES,	-
NO,	fof annotation found
YES,	-
YES,	-
NO,	fof annotation found
YES,	-
YES,	-
YES,	-
YES,	-
YES,	-
YES,	-
YES,	-
YES,	-
NO,	fof annotation found
NO,	fof annotation found
YES,	-
YES,	-
YES,	-
YES,	-
YES,	-
YES,	-
YES,	-
YES,	-
YES,	-
YES,	-
YES,	-
YES,	-
YES,	-
NO,	fof annotation found
YES,	-
YES,	-
YES,	-
NO,	fof annotation found
YES,	-
YES,	-
YES,	-
YES,	-
YES,	-
YES,	-
YES,	-
YES,	-
YES,	-
YES,	-
YES,	-
YES,	-
YES,	-
YES,	-
YES,	-
YES,	-
NO,	fof annotation found
YES,	-
NO,	fof annotation found
YES,	-
YES,	-
YES,	-
YES,	-
NO,	fof annotation found
YES,	-
YES,	-
YES,	-
YES,	-
NO,	fof annotation found
YES,	-
YES,	-
YES,	-
YES,	-
YES,	-
YES,	-
YES,	-
YES,	-
YES,	-
YES,	-
YES,	-
YES,	-
YES,	-
YES,	-
YES,	-
YES,	-
YES,	-
NO,	fof annotation found
YES,	-
YES,	-
NO,	fof annotation found
YES,	-
NO,	fof annotation found
YES,	-
YES,	-
YES,	-
NO,	fof annotation found
YES,	-
NO,	fof annotation found
YES,	-
YES,	-
YES,	-
YES,	-
NO,	fof annotation found
YES,	-
YES,	-
YES,	-
YES,	-
YES,	-
YES,	-
YES,	-
YES,	-
YES,	-
YES,	-
YES,	-
YES,	-
YES,	-
YES,	-
YES,	-
YES,	-
NO,	fof annotation found
YES,	-
NO,	fof annotation found
YES,	-
YES,	-
YES,	-
YES,	-
YES,	-
YES,	-
YES,	-
YES,	-
YES,	-
YES,	-
YES,	-
YES,	-
YES,	-
NO,	fof annotation found
YES,	-
YES,	-
YES,	-
YES,	-
YES,	-
NO,	fof annotation found
YES,	-
YES,	-
YES,	-
NO,	fof annotation found
NO,	fof annotation found
YES,	-
YES,	-
YES,	-
YES,	-
YES,	-
YES,	-
YES,	-
YES,	-
YES,	-
YES,	-
YES,	-
YES,	-
YES,	-
YES,	-
NO,	fof annotation found
NO,	fof annotation found
NO,	fof annotation found
NO,	fof annotation found
YES,	-
YES,	-
YES,	-
YES,	-
NO,	fof annotation found
YES,	-
NO,	fof annotation found
NO,	fof annotation found
NO,	fof annotation found
YES,	-
YES,	-
NO,	parse error
NO,	fof annotation found
NO,	fof annotation found
YES,	-
NO,	fof annotation found
YES,	-
NO,	fof annotation found
NO,	fof annotation found
NO,	parse error
YES,	-
NO,	fof annotation found
NO,	fof annotation found
YES,	-
YES,	-
NO,	parse error
YES,	-
NO,	fof annotation found
NO,	fof annotation found
YES,	-
NO,	fof annotation found
YES,	-
YES,	-
NO,	fof annotation found
YES,	-
NO,	fof annotation found
NO,	fof annotation found
NO,	fof annotation found
NO,	parse error
YES,	-
NO,	parse error
YES,	-
NO,	fof annotation found
YES,	-
YES,	-
NO,	fof annotation found
NO,	parse error
YES,	-
YES,	-
NO,	fof annotation found
YES,	-
NO,	fof annotation found
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	parse error
YES,	-
NO,	parse error
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	parse error
NO,	fof annotation found
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
YES,	-
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	parse error
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	fof annotation found
NO,	parse error
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	parse error
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	parse error
YES,	-
NO,	parse error
NO,	fof annotation found
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	fof annotation found
NO,	parse error
YES,	-
NO,	parse error
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	parse error
NO,	fof annotation found
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	parse error
NO,	fof annotation found
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	parse error
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
YES,	-
NO,	parse error
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	parse error
YES,	-
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	parse error
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	parse error
NO,	fof annotation found
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	parse error
NO,	fof annotation found
NO,	parse error
YES,	-
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	fof annotation found
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	parse error
NO,	parse error
YES,	-
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
YES,	-
NO,	parse error
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	parse error
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	parse error
NO,	fof annotation found
YES,	-
NO,	parse error
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	parse error
YES,	-
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	parse error
NO,	fof annotation found
YES,	-
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	fof annotation found
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	parse error
NO,	parse error
YES,	-
NO,	parse error
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	parse error
YES,	-
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
YES,	-
NO,	fof annotation found
NO,	parse error
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	parse error
YES,	-
NO,	parse error
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	fof annotation found
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	fof annotation found
YES,	-
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	parse error
NO,	fof annotation found
NO,	parse error
NO,	fof annotation found
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	parse error
YES,	-
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	parse error
NO,	fof annotation found
NO,	parse error
NO,	parse error
